EC number	KEGG pathway(s)
1.1.1.362	Biosynthesis of antibiotics
1.1.1.364	Biosynthesis of antibiotics
1.1.3.43	Biosynthesis of antibiotics
1.1.3.44	Biosynthesis of antibiotics
1.1.3.45	Biosynthesis of antibiotics
1.1.3.46	Biosynthesis of antibiotics
1.1.99.38	Biosynthesis of antibiotics
1.11.1.23	Biosynthesis of antibiotics
1.13.11.46	Biosynthesis of antibiotics
1.13.11.72	Biosynthesis of antibiotics
1.13.11.80	Biosynthesis of antibiotics
1.13.12.21	Biosynthesis of antibiotics
1.13.12.22	Biosynthesis of antibiotics
1.14.13.154	Biosynthesis of antibiotics
1.14.13.180	Biosynthesis of antibiotics
1.14.13.181	Biosynthesis of antibiotics
1.14.13.185	Biosynthesis of antibiotics
1.14.13.186	Biosynthesis of antibiotics
1.14.13.188	Biosynthesis of antibiotics
1.14.13.200	Biosynthesis of antibiotics
1.14.14.13	Biosynthesis of antibiotics
1.14.20.3	Biosynthesis of antibiotics
1.2.1.86	Biosynthesis of antibiotics
1.3.1.86	Biosynthesis of antibiotics
1.3.3.14	Biosynthesis of antibiotics
2.1.1.101	Biosynthesis of antibiotics
2.1.1.102	Biosynthesis of antibiotics
2.1.1.234	Biosynthesis of antibiotics
2.1.1.235	Biosynthesis of antibiotics
2.1.1.237	Biosynthesis of antibiotics
2.1.1.238	Biosynthesis of antibiotics
2.1.1.239	Biosynthesis of antibiotics
2.1.1.254	Biosynthesis of antibiotics
2.1.1.284	Biosynthesis of antibiotics
2.1.1.285	Biosynthesis of antibiotics
2.1.1.288	Biosynthesis of antibiotics
2.1.1.292	Biosynthesis of antibiotics
2.1.1.305	Biosynthesis of antibiotics
2.1.1.306	Biosynthesis of antibiotics
2.1.1.307	Biosynthesis of antibiotics
2.1.1.38	Biosynthesis of antibiotics
2.1.3.12	Biosynthesis of antibiotics
2.1.4.2	Biosynthesis of antibiotics
2.3.1.157	Biosynthesis of antibiotics
2.3.1.183	Biosynthesis of antibiotics
2.3.1.226	Biosynthesis of antibiotics
2.3.1.235	Biosynthesis of antibiotics
2.3.1.239	Biosynthesis of antibiotics
2.3.1.240	Biosynthesis of antibiotics
2.3.1.94	Biosynthesis of antibiotics
2.3.2.19	Biosynthesis of antibiotics
2.4.1.277	Biosynthesis of antibiotics
2.4.1.278	Biosynthesis of antibiotics
2.4.1.283	Biosynthesis of antibiotics
2.4.1.284	Biosynthesis of antibiotics
2.4.1.285	Biosynthesis of antibiotics
2.4.1.302	Biosynthesis of antibiotics
2.4.1.316	Biosynthesis of antibiotics
2.4.1.317	Biosynthesis of antibiotics
2.4.1.318	Biosynthesis of antibiotics
2.4.1.326	Biosynthesis of antibiotics
2.4.1.327	Biosynthesis of antibiotics
2.4.1.328	Biosynthesis of antibiotics
2.4.1.331	Biosynthesis of antibiotics
2.4.2.27	Biosynthesis of antibiotics
2.4.2.49	Biosynthesis of antibiotics
2.5.1.111	Biosynthesis of antibiotics
2.5.1.38	Biosynthesis of antibiotics
2.6.1.100	Biosynthesis of antibiotics
2.6.1.101	Biosynthesis of antibiotics
2.6.1.103	Biosynthesis of antibiotics
2.6.1.106	Biosynthesis of antibiotics
2.6.1.33	Biosynthesis of antibiotics
2.6.1.50	Biosynthesis of antibiotics
2.6.1.56	Biosynthesis of antibiotics
2.6.1.93	Biosynthesis of antibiotics
2.6.1.94	Biosynthesis of antibiotics
2.6.1.98	Biosynthesis of antibiotics
2.7.1.179	Biosynthesis of antibiotics
2.7.1.65	Biosynthesis of antibiotics
2.7.1.72	Biosynthesis of antibiotics
2.7.7.23	Biosynthesis of antibiotics
2.7.7.24	Biosynthesis of antibiotics
3.1.1.95	Biosynthesis of antibiotics
3.1.3.25	Biosynthesis of antibiotics
3.1.3.39	Biosynthesis of antibiotics
3.1.3.40	Biosynthesis of antibiotics
3.1.3.88	Biosynthesis of antibiotics
3.5.1.112	Biosynthesis of antibiotics
3.5.1.113	Biosynthesis of antibiotics
3.6.1.57	Biosynthesis of antibiotics
4.1.1.82	Biosynthesis of antibiotics
4.1.1.95	Biosynthesis of antibiotics
4.2.1.144	Biosynthesis of antibiotics
4.2.1.154	Biosynthesis of antibiotics
4.2.1.46	Biosynthesis of antibiotics
4.2.3.124	Biosynthesis of antibiotics
4.3.1.30	Biosynthesis of antibiotics
4.3.2.6	Biosynthesis of antibiotics
5.1.1.14	Biosynthesis of antibiotics
5.1.3.13	Biosynthesis of antibiotics
5.1.3.25	Biosynthesis of antibiotics
5.4.2.10	Biosynthesis of antibiotics
5.4.2.3	Biosynthesis of antibiotics
5.4.2.9	Biosynthesis of antibiotics
5.5.1.23	Biosynthesis of antibiotics
5.5.1.26	Biosynthesis of antibiotics
5.5.1.4	Biosynthesis of antibiotics
6.2.1.39	Biosynthesis of antibiotics
6.3.1.15	Biosynthesis of antibiotics
6.3.3.6	Biosynthesis of antibiotics
